Ano,Quartil 1,Mediana,Quartil 3,QuantidadeRepo
1,2035.0,5187.0,12634.0,25
2,3570.0,10274.0,19756.0,25
3,5387.0,12523.0,22931.0,25
4,6094.5,15557.5,32235.5,25
