Ano,Quartil 1,Mediana,Quartil 3,QuantidadeRepo
1,0.0,0.0,0.0,105
2,0.0,0.0,0.0,56
3,0.0,0.0,0.0,54
4,0.0,0.0,0.0,34
5,0.0,0.0,0.0,25
6,0.0,0.0,0.0,9
7,0.0,0.0,0.0,5
8,0.0,0.0,0.0,2
