Ano,Quartil 1,Mediana,Quartil 3,QuantidadeRepo
1,6.965784284662087,48.6,205.51773221394254,105
2,13.632331253245201,59.33912496085974,240.2031067316999,56
3,9.877443751081735,55.935231795801556,157.88878461669412,54
4,13.35226661302615,61.03221627725149,125.28791042282205,34
5,48.0,134.43609377704337,520.111893254769,25
6,30.319433158222125,62.26976913547136,152.44361157219495,9
7,1.0,149.33534895464757,156.11230060907732,5
8,19.378222426272988,38.756444852545975,58.13466727881897,2
