Ano,Valor,QuantidadeRepo
1,65.72730028954845,278
2,65.42558356924846,220
3,64.62721591710275,134
4,64.8256290828566,85
5,66.8219503443874,36
6,67.23431192570418,16
7,68.22123218004424,4
