nameWithOwner,totalLoc,totalSloc,cc,miMultiFalse,miMultiTrue,difficulty,effort,timeHas,bugs,totalFiles
ActivityWatch/activitywatch,212.0,138.0,0.0,66.60651745507225,66.60651745507225,2.2857142857142856,102.79453952522255,5.710807751401252,0.01499087034742829,3.0
aio-libs/aiohttp,32543.5,23175.5,0.0,49.866892441253825,52.32529705003212,1.8936651583710407,198.17060485082547,11.009478047268082,0.032,140.0
altair-viz/altair,64081.5,19128.0,0.0,96.42355991758177,100.0,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,242.0
amueller/word_cloud,4935.0,2779.0,0.0,77.56389091277101,81.78305830029991,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,22.0
apprenticeharper/DeDRM_tools,3404.0,2494.0,0.0,60.497667585312236,60.497667585312236,3.3333333333333335,519.522284636647,28.862349146480387,0.056085807424005374,54.0
arc298/instagram-scraper,116.0,93.0,0.0,87.64483837224591,87.64483837224591,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782,6.0
asciinema/asciinema,1455.0,1057.5,0.0,61.08165385160941,61.08165385160941,1.302536231884058,73.14285939212746,4.063492188451526,0.01425927184789218,25.0
automl/auto-sklearn,32958.0,24490.0,0.0,67.98269949196528,68.95615024824835,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,285.0
awslabs/serverless-application-model,22211.0,14286.0,0.0,91.55640153024964,95.57142003028012,0.5,1.6887218755408673,0.09381788197449263,0.0011258145836939115,181.0
bear/python-twitter,5363.0,3780.0,0.0,82.16245566409151,81.82839917613268,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,33.0
beetbox/beets,42512.0,27534.0,0.0,63.1606422012524,65.46114659344192,2.0,155.3483750312501,8.630465279513894,0.02389975000480771,157.0
benoitc/gunicorn,12184.5,8448.5,0.0,100.0,100.0,0.0,0.0,0.0,0.0,149.0
bigchaindb/bigchaindb,19698.0,11627.5,0.0,70.28433710953854,73.79480302419225,1.0,53.72762603110582,2.9848681128392123,0.014670028792011774,135.0
meolu/walle-web,9233.0,5558.0,0.0,75.38447977293907,82.09048985071888,1.0,23.839850002884624,1.324436111271368,0.007946616667628208,90.0
mesonbuild/meson,19416.0,14602.0,0.0,85.8944405917708,85.61439940027327,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,183.0
michael-lazar/rtv,13778.0,8512.0,0.0,53.35458885803883,59.50917940839125,4.0,1127.4413368529965,62.635629825166475,0.08341714012534482,49.0
mitmproxy/mitmproxy,42470.5,31276.5,0.0,60.795085785342295,66.26901836666092,1.4166666666666665,75.64796840477004,4.202664911376114,0.016003413248356815,330.0
MongoEngine/mongoengine,19990.0,13328.5,0.0,55.27999761297608,61.88797153820809,1.5684931506849316,225.1380176945043,12.507667649694683,0.034792316181347156,84.0
MrS0m30n3/youtube-dl-gui,3973.0,2124.0,0.0,61.29686318331785,72.37201345550258,2.4318181818181817,163.13781191217038,9.063211772898354,0.02175170825495605,24.0
msiemens/tinydb,3556.0,1969.0,0.0,57.9713538346235,68.02453490951021,1.9915413533834587,126.76352783655919,7.042418213142177,0.03112802777958082,20.0
mwaskom/seaborn,17933.0,11173.5,0.0,99.40828991921941,100.0,0.5,2.3774437510817346,0.1320802083934297,0.0013333333333333333,75.0
MycroftAI/mycroft-core,32285.0,19905.0,0.0,71.7512076416168,70.96687740594875,1.5,120.86105818161066,6.714503232311703,0.021,211.0
nameko/nameko,19910.0,12615.0,0.0,64.43722665129559,68.09122242944011,1.0,27.0,1.5,0.008711032383086407,122.0
pymc-devs/pymc3,32165.5,18802.5,0.0,53.84943753135582,62.36304525714287,3.5,760.2193034639131,42.23440574799517,0.06884117790550072,162.5
python-pillow/Pillow,46113.0,29250.0,0.0,70.05881314771882,70.01513714411197,1.5,68.33680652339717,3.796489251299843,0.015534837503125011,275.0
python-telegram-bot/python-telegram-bot,35660.0,18287.0,0.0,76.20166823583475,72.36578471671729,1.0,51.00051150486434,2.833361750270241,0.018144134346656154,250.0
python-visualization/folium,11183.0,6588.0,0.0,75.078574486234,82.68526794913438,1.0,46.88217582107718,2.6045653233931767,0.012367028848534111,60.0
RaRe-Technologies/gensim,65201.0,29224.0,0.0,61.49863930299486,57.65828415533305,2.9772727272727275,332.64410994177115,18.4802283300984,0.04024675364471428,187.0
snorkel-team/snorkel,13389.0,7487.0,0.0,68.01988329857336,76.14488524200509,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,145.0
soimort/you-get,9477.5,6955.0,0.0,70.8569590128986,72.69795569806212,1.993421052631579,89.85990385898558,4.992216881054754,0.01497665064316426,128.0
spotify/luigi,47377.0,27657.0,0.0,72.94866350675238,72.7010264157391,1.5,76.0782000346155,4.226566668589751,0.01383772647454919,219.0
StackStorm/st2,156042.5,101206.0,0.0,80.71867269238123,80.71867269238123,0.5,12.63309714925922,0.701838730514401,0.004643856189774725,1176.0
stamparm/maltrail,2409.5,1444.0,0.0,76.5036370748824,88.80917104164907,2.05,79.68752208904013,4.42708456050223,0.013425215903299386,91.0
streamlink/streamlink,43195.0,32274.0,0.0,69.20100149418101,73.82614326880724,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,508.0
