nameWithOwner,totalLoc,totalSloc,cc,miMultiFalse,miMultiTrue,difficulty,effort,timeHas,bugs
aliyun/aliyun-odps-python-sdk,67065.5,45440.0,2.0,59.084069479473555,59.55177067194471,3.3361013986013983,595.9579154342046,33.10877307967803,0.05577055418806097
bitcraze/crazyflie-clients-python,13257.0,8582.0,2.0,64.67955369006206,65.2804061885562,3.4318181818181817,712.9154965088848,39.60641647271582,0.0613620945070764
ComplianceAsCode/content,21566.0,15284.0,3.0,51.57549508873427,57.923652166705445,2.9017857142857144,507.55534882983216,28.19751937943512,0.06266115417652249
dropbox/PyHive,3022.0,2093.0,1.0,49.70565571055779,56.903429350537145,2.4705882352941178,143.39850002884626,7.966583334935903,0.01911980000384617
Ericsson/codechecker,50913.0,31788.0,2.0,73.21099917513862,77.53129855996701,1.0,43.0126478983655,2.3895915499091944,0.012983745107314414
flasgger/flasgger,6401.0,3416.0,2.0,63.20556652965721,79.70958335995942,1.0,42.793987519471216,2.377443751081734,0.013287712379549451
ibm-watson-iot/iot-python,16226.0,10583.0,2.0,67.50974881257031,69.17358434027112,1.7142857142857142,216.7481250360578,12.041562502003211,0.04897171431695763
Kinto/kinto,32255.0,23320.0,1.0,60.45433028516784,66.39098694170256,1.0,22.458839376460833,1.2477132986922685,0.008422064766172813
nabla-c0d3/sslyze,10481.0,7126.0,2.0,66.83178928183729,71.12740973056557,1.5,99.72774310736182,5.540430172631211,0.017610985298396137
napalm-automation/napalm,13141.0,7740.0,2.0,64.54329077876355,72.55961489706081,0.8529411764705883,15.509775004326936,0.861654166907052,0.005169925001442312
neovim/pynvim,4252.0,2648.0,2.0,56.055778099917205,58.7188527360663,1.9821428571428572,264.81239071240327,14.711799484022404,0.029372820017029757
pyexcel/pyexcel,12595.0,8009.0,1.0,64.06121305402337,77.29200847803872,1.0,15.509775004326936,0.861654166907052,0.005169925001442312
rasbt/mlxtend,26449.5,15088.0,2.0,68.64538077507052,67.15831712062781,2.0,272.7719979479402,15.153999885996676,0.04798651396100548
robotframework/robotframework,64101.0,42005.0,1.0,67.06916826337805,67.31030673078054,1.5,62.26976913547136,3.4594316186372978,0.01383772647454919
themix-project/oomox,6729.5,5564.0,2.0,54.9662003576442,54.9662003576442,2.3611111111111116,159.24476666312523,8.846931481284736,0.028936715330710534
tqdm/tqdm,3510.5,2387.5,3.0,61.677065788153094,67.93840385919546,2.3333333333333335,280.0,15.555555555555555,0.03675713845627876
