nameWithOwner,totalLoc,totalSloc,cc,miMultiFalse,miMultiTrue,difficulty,effort,timeHas,bugs,totalFiles
10se1ucgo/DisableWinTracking,477.0,333.0,0.0,57.8976234281631,59.36263340743143,2.5357142857142856,485.78140340105296,26.98785574450294,0.05522173028817426,3.0
achael/eht-imaging,16486.0,9979.5,0.0,65.85867364936865,65.4045381717098,3.6000733137829912,1025.1448439274086,56.95249132930048,0.08934159922993602,75.0
ActivityWatch/activitywatch,212.0,138.0,0.0,66.60651745507225,66.60651745507225,2.2857142857142856,102.79453952522255,5.710807751401252,0.01499087034742829,3.0
aio-libs/aiohttp,29637.5,21211.0,0.0,50.16965306575221,52.20897300597298,1.75,143.57822938861307,7.9765682993673925,0.028,135.0
airbnb/knowledge-repo,10274.0,6995.0,0.0,66.41960328159463,71.79387060879046,1.0,36.0,2.0,0.01,102.0
allenai/allennlp,54648.0,34941.0,0.0,60.62421081221245,69.01359186846358,1.9583333333333335,191.32501237052088,10.629167353917826,0.02890085744942428,417.0
altair-viz/altair,37006.0,13642.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,196.0
amperser/proselint,11001.5,7383.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,227.0
apprenticeharper/DeDRM_tools,5670.0,4332.0,0.0,61.30590899804548,62.713597773202295,3.5087719298245617,648.3996219285293,36.02220121825163,0.06690675167302326,133.0
arc298/instagram-scraper,111.0,89.0,0.0,87.64483837224591,87.64483837224591,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782,6.0
asciimoo/searx,23216.5,17283.5,0.0,72.12044650459296,76.3234152577651,1.0,33.75,1.875,0.012679700005769252,197.0
automl/auto-sklearn,32406.0,23800.0,0.0,67.11262847710204,67.98269949196528,1.0,16.0,0.8888888888888888,0.005169925001442312,277.0
awslabs/aws-sam-cli,48464.5,32733.5,0.0,80.4367810684352,83.63279136364952,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,400.0
awslabs/serverless-application-model,21717.0,13774.0,0.0,86.29040287846337,90.2447083454132,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,206.0
bear/python-twitter,4986.0,3524.0,0.0,82.46857708364962,82.29617636632815,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,31.0
beetbox/beets,36838.0,23940.0,0.0,63.668012232391355,66.24771132610553,2.0,132.83428025068963,7.379682236149424,0.02213904670844827,148.0
belluzj/fantasque-sans,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
benoitc/gunicorn,13014.5,9051.5,0.0,100.0,100.0,0.0,0.0,0.0,0.0,175.0
bigchaindb/bigchaindb,19587.0,11588.0,0.0,62.82339360857222,69.04789016594981,1.0,53.044618152438574,2.9469232306910316,0.01383772647454919,134.0
binux/pyspider,12542.5,9393.0,0.0,66.55432156837287,67.71333167157167,1.9464285714285716,161.51837948892552,8.973243304940308,0.02838599913344883,102.5
mesonbuild/meson,12358.0,9669.5,0.0,86.20556830283704,86.20556830283704,1.0,27.0,1.5,0.009,119.0
mherrmann/fbs,3510.0,2593.5,0.0,75.32740006064196,80.29152641664967,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,73.0
michael-lazar/rtv,11655.5,7137.0,0.0,56.39991842407216,60.276541988579496,3.9918032786885247,905.5028407520689,50.305713375114934,0.06618947501009619,46.5
microsoft/botframework-sdk,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
minimaxir/textgenrnn,1036.0,785.0,0.0,51.392501715902604,73.0039406133358,4.9,699.2388778023283,38.84660432235157,0.04756727059879784,7.0
mininet/mininet,6033.0,3798.0,0.0,69.95185507602783,76.50914099240117,1.5,54.81181356564148,3.0451007536467487,0.014395021744511906,87.0
mitmproxy/mitmproxy,11387.5,8463.0,0.0,70.19627355492409,75.24503758584223,1.0,29.918293700592066,1.6621274278106704,0.007918938700562449,122.5
MongoEngine/mongoengine,17976.5,11955.5,0.0,51.752786110735045,60.448990719231155,1.75,168.1698997542997,9.342772208572207,0.023264662506490404,60.0
msiemens/tinydb,2808.0,1452.5,0.0,59.192838827074596,69.34226889549844,1.848684210526316,90.46318363567967,5.025732424204426,0.028654034593795265,20.0
MycroftAI/mycroft-core,25799.5,15995.5,0.0,72.85841813483304,71.5493740329214,1.75,147.0,8.166666666666666,0.02098457920139976,171.0
nameko/nameko,20419.0,12758.0,0.0,64.39688456203534,67.78322531731163,1.0,27.0,1.5,0.008422064766172813,121.0
NervanaSystems/neon,57094.5,33286.5,0.0,65.28829640031634,67.52690744354703,3.6818181818181817,709.4626185326421,39.41458991848012,0.05640527661769311,248.0
pre-commit/pre-commit,12459.0,9541.0,0.0,59.14962565404426,60.343294540167314,1.0,57.65719364395497,3.203177424664165,0.01726871868465843,107.0
pritunl/pritunl,25256.0,19345.0,0.0,61.09124764494748,61.53209676799875,1.5,45.89253261676786,2.549585145375992,0.010614709844115208,261.0
PyGithub/PyGithub,31757.5,19025.0,0.0,83.62700517925977,77.91202270746678,0.6666666666666666,8.0,0.4444444444444444,0.004,198.5
pymc-devs/pymc3,17299.5,9705.0,0.0,60.25136187537876,67.00293669308735,2.6972705200501252,344.20296859165967,19.122387143981094,0.03833561255612501,102.0
python-attrs/attrs,5840.0,3210.0,0.0,53.64058280941666,75.67024619989805,1.625,124.76316940632421,6.9312871892402335,0.025674117084629813,27.0
python-pillow/Pillow,41373.0,25700.0,0.0,67.80901996428487,67.95588030279916,1.6904761904761905,72.22215106670886,4.01234172592827,0.015534837503125011,273.0
python-poetry/poetry,40871.0,29925.0,0.0,64.9820280162454,65.36176534280976,1.0,36.0,2.0,0.011229419688230418,365.0
python-telegram-bot/python-telegram-bot,26275.0,13045.0,0.0,82.50252677022179,72.50590756921781,0.7142857142857143,34.82892142331043,1.9349400790728017,0.012180403014586996,213.0
python-visualization/folium,8492.0,4882.0,0.0,78.5298273802812,84.56123760394121,1.0,57.05865002596163,3.169925001442313,0.013736341672916687,44.0
pytransitions/transitions,7079.5,4881.0,0.0,51.13956066523069,57.62379005913192,2.5166666666666666,339.6715957692811,18.870644209404507,0.0374125797421735,30.0
QingdaoU/OnlineJudge,7918.0,5620.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,186.0
Qiskit/qiskit-terra,124913.5,64048.0,0.0,83.32884049226945,79.90038207054036,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,739.5
quantopian/zipline,94349.5,59693.5,0.0,59.27241141066354,66.00321274826877,2.604166666666667,250.889674075338,13.938315226407667,0.034043413932041224,264.0
