nameWithOwner,totalLoc,totalSloc,cc,miMultiFalse,miMultiTrue,difficulty,effort,timeHas,bugs
msiemens/tinydb,2371.0,1195.0,0.0,66.19998148504835,70.37943614429958,1.3333333333333333,57.3470214314884,3.185945635082689,0.019534452978042596,19.0
mstamy2/PyPDF2,1925.0,1199.0,0.0,59.911352913841874,65.94902378200081,3.2743055555555554,540.4762862408696,30.026460346714977,0.05537376715574427,16.0
mwaskom/seaborn,11167.0,6442.0,0.0,62.754318954694696,86.4085349133826,1.4166666666666665,61.64210625757214,3.424561458754008,0.012958372343751842,48.0
mwouts/jupytext,8413.0,5159.0,0.0,66.73551166833326,70.27210723239793,0.7741935483870968,29.571428571428573,1.6428571428571428,0.008,86.0
MycroftAI/mycroft-core,8172.0,4861.5,0.0,81.962874098281,81.60460413989746,1.0,30.319433158222125,1.6844129532345624,0.008422064766172813,98.0
nameko/nameko,12916.0,7901.5,0.0,64.1463924415215,68.44336064538626,1.0,27.0,1.5,0.008422064766172813,111.5
nbedos/termtosvg,1926.0,1447.0,0.0,55.44469135565509,60.009582225474304,1.7333333333333334,123.34799060470309,6.852666144705727,0.01850219859070546,13.0
NervanaSystems/neon,21721.0,11757.0,0.0,70.76328151760109,71.06323164664008,2.7596153846153846,238.94592263120165,13.274773479511204,0.03920420361916078,128.0
pre-commit/pre-commit,9941.5,7375.5,0.0,63.41458841552333,66.7352481003286,1.0,53.77443751081735,2.987468750600964,0.012679700005769252,103.0
PrefectHQ/prefect,34392.5,20055.0,0.0,61.41801930940917,70.62296185916611,1.0,43.18506523353572,2.399170290751984,0.014215898177399964,223.5
pritunl/pritunl,24436.0,18631.0,0.0,61.09124764494748,61.58034641147192,1.5,48.6,2.7,0.012180403014586996,245.0
PyCQA/pycodestyle,2327.5,1325.0,0.0,85.594704093087,85.594704093087,1.0,9.804820237218404,0.5447122354010225,0.004,40.0
pydanny/cookiecutter-django,982.5,463.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,17.5
PyGithub/PyGithub,20782.0,10314.0,0.0,80.3086289034279,74.04124467371099,0.6666666666666666,8.0,0.4444444444444444,0.004,169.0
pymc-devs/pymc3,4019.0,1980.0,0.0,64.58055582226746,70.02855360346084,1.5,51.907521898617865,2.8837512165898813,0.01267970000576925,64.0
pypa/virtualenv,2473.5,1706.5,0.0,61.00536854575816,62.4149505689478,2.25,160.83659810816076,8.935366561564486,0.02586823867014537,17.5
pytest-dev/pytest,40009.0,29530.0,0.0,64.45872810054055,71.44842835188814,1.5,48.6,2.7,0.01383772647454919,202.0
python-attrs/attrs,5840.0,3210.0,0.0,53.64058280941666,75.16563644461371,1.525,88.75669502509623,4.930927501394235,0.022754887502163472,25.0
python-pillow/Pillow,38233.0,22847.0,0.0,73.56433309298237,74.28494174687494,1.7142857142857142,89.62406251802892,4.9791145843349405,0.016072238988780914,270.0
python-poetry/poetry,22750.5,16167.5,0.0,65.48857175814234,71.44842835188814,1.0,27.0,1.5,0.009,240.0
python-telegram-bot/python-telegram-bot,7591.0,3870.0,0.0,88.04471175154158,82.62341286184312,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,54.0
python-visualization/folium,2317.5,1256.5,0.0,79.88411582606992,85.62283695501642,0.5096153846153846,7.965784284662087,0.4425435713701159,0.004661235397553117,16.5
pytorch/fairseq,14129.0,9272.0,0.0,70.11618437626389,71.7309071335869,3.0,330.62749925888323,18.36819440327129,0.03776660909088234,99.0
pytorch/ignite,7840.0,4955.5,0.0,59.12429718249885,68.60518843232077,1.7545787545787546,119.0069901528633,6.61149945293685,0.021031049296314275,91.0
PyTorchLightning/pytorch-lightning,16979.0,7918.0,0.0,71.11256214055304,74.98142961802397,1.0,39.863137138648355,2.2146187299249087,0.012679700005769252,109.0
pytransitions/transitions,4740.0,3488.0,0.0,55.738076260786755,56.92990271784738,2.5166666666666666,227.5201252368953,12.640006957605294,0.029200610353460943,21.0
QingdaoU/OnlineJudge,7887.0,5608.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,171.0
Qiskit/qiskit-terra,24027.0,12135.0,0.0,81.68631393213656,78.51590576152628,1.0,41.328562329059785,2.2960312405033214,0.01107309364962454,164.0
qiyeboy/IPProxyPool,1814.0,1339.5,0.0,86.3031083544368,84.82771415236193,0.5,3.5245288844768226,0.19580716024871236,0.0021887218755408675,31.0
quantopian/zipline,60989.0,37770.0,0.0,64.48948344221614,68.14443999546141,2.480769230769231,205.51773221394254,11.417651789663473,0.02946248380210064,222.0
r0oth3x49/udemy-dl,1744.0,1167.0,0.0,64.91619679201101,77.925762151518,1.875,97.296514274174,5.405361904120777,0.01729715809318649,17.0
RaRe-Technologies/gensim,21259.0,11502.5,0.0,66.30570208751655,67.65380461114627,3.0,373.8728965399848,20.7707164744436,0.04806888572075978,102.5
sloria/TextBlob,71685.0,37940.0,0.0,62.58287044068099,63.689858792257866,3.291666666666667,402.32845023292435,22.351580568495798,0.0404234710861244,271.0
smacke/ffsubsync,1103.5,927.5,0.0,56.14189890647998,56.14189890647998,2.393421052631579,287.60238453253237,15.977910251807351,0.02640770464593683,14.0
snare/voltron,8003.0,5037.0,0.0,69.15666715247866,70.94339520084627,0.75,12.509775004326936,0.6949875002403854,0.004169925001442313,52.0
snipsco/snips-nlu,6984.0,5698.0,0.0,61.65475213786391,61.65475213786391,1.5,65.92994682908729,3.6627748238381828,0.013287712379549451,55.0
snorkel-team/snorkel,4900.0,3070.0,0.0,59.36940077161622,70.10859527750152,3.2785493827160495,413.51077520623096,22.97282084479061,0.04591292096656388,45.0
soimort/you-get,4393.0,3423.0,0.0,69.71385481910544,72.74630518748053,1.5,39.863137138648355,2.2146187299249087,0.012180403014586996,74.0
spotify/luigi,25636.0,14680.5,0.0,77.33247626108891,75.29204632298699,1.4583333333333333,61.116625262592265,3.3953680701440145,0.013548219857354205,144.5
spyoungtech/grequests,445.0,268.0,0.0,61.68015225720166,71.0987557012746,2.3076923076923075,216.94995080482573,12.05277504471254,0.031337215116252606,3.0
sripathikrishnan/redis-rdb-tools,2218.5,1701.0,0.0,59.2205558982155,60.95145670764237,2.446428571428571,103.4480910908096,5.747116171711644,0.013700222950799255,19.0
StackStorm/st2,48827.0,30756.0,0.0,85.34775761860664,84.39858651735227,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,563.0
stamparm/maltrail,1809.0,1103.0,0.0,76.5036370748824,88.80917104164907,2.2857142857142856,94.88726725405158,5.27151484744731,0.01383772647454919,68.0
StevenBlack/hosts,1763.0,816.0,0.0,69.13165691556459,71.62779574616164,1.625,301.34099544960986,16.741166413867216,0.061813537528125094,4.0
streamlink/streamlink,25013.0,18201.5,0.0,61.367893270972715,63.30613032588206,1.0555555555555556,29.489574868666594,1.6383097149259218,0.008211032383086406,245.5
SublimeText-Markdown/MarkdownEditing,1933.0,1472.0,0.0,60.32563556270149,64.58928309286978,2.695588235294118,414.10960403757326,23.006089113198513,0.04745957744227314,14.0
taoufik07/responder,3345.0,2278.0,0.0,62.6102284920146,68.64822400626812,0.5,15.509775004326936,0.861654166907052,0.005169925001442312,25.0
