nameWithOwner,totalLoc,totalSloc,cc,miMultiFalse,miMultiTrue,difficulty,effort,timeHas,bugs
10se1ucgo/DisableWinTracking,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,1.0
521xueweihan/HelloGitHub,313.0,197.0,0.0,62.03525869178377,67.8546128522097,3.7478991596638656,923.0114021112452,51.27841122840251,0.0781713780286579,2.0
a1studmuffin/SpaceshipGenerator,893.0,695.0,0.0,64.3425161009563,64.3425161009563,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,3.0
ab77/netflix-proxy,810.0,613.5,0.0,100.0,100.0,0.0,0.0,0.0,0.0,6.0
aboul3la/Sublist3r,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,3.0
achael/eht-imaging,15612.0,9348.0,0.0,66.2155168786114,65.35677120344135,3.855795516675779,1128.2729333205116,62.681829628917306,0.10040182798667577,68.0
ActivityWatch/activitywatch,335.0,58.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,1.0
aidlearning/AidLearning-FrameWork,2383.0,1598.0,0.0,69.20339057783822,69.20339057783822,2.0,223.01619445578822,12.389788580877124,0.029333333333333333,34.0
aio-libs/aiohttp,17030.0,12451.0,0.0,44.46363970061348,45.464272841941764,1.5,59.05247957552416,3.280693309751342,0.014395021744511906,67.0
airbnb/knowledge-repo,7305.0,5031.0,0.0,64.69234642775717,71.79387060879046,1.2916666666666665,52.42446858583324,2.9124704769907357,0.012180403014586996,73.0
ajenti/ajenti,13974.5,9174.0,0.0,68.3867619345087,77.56071124214495,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,208.5
aleju/imgaug,36230.0,16974.0,0.0,52.563576496045876,54.24314464747354,3.6728971962616823,800.6256002769239,44.47920001538466,0.07240653632312138,121.0
alexjc/neural-enhance,527.0,380.0,0.0,23.893158525992682,26.122533286226066,10.613065326633166,33221.75905792214,1845.6532809956745,1.0434233037447138,1.0
alicevision/meshroom,10833.5,7873.5,0.0,75.42417966846843,76.49736707520796,0.5,5.1887218755408675,0.28826232641893706,0.002792481250360578,70.0
allenai/allennlp,48548.0,29443.0,0.0,65.97200580643863,72.41623891652688,1.5,112.23939838284122,6.235522132380067,0.022434652487756612,432.0
altair-viz/altair,8340.0,4657.0,0.0,87.95174409664037,92.42584851949451,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,111.0
amperser/proselint,7909.0,5510.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,130.0
amueller/word_cloud,1728.0,918.0,0.0,91.19425372760145,92.75274332705983,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,17.0
ankitects/anki,28716.0,21517.0,0.0,52.958934696339334,54.64880463370908,3.1578947368421053,858.4097837804951,47.68943243224973,0.08692482554982693,119.0
apachecn/AiLearning,1810.0,796.0,0.0,76.26600600364833,75.21450261442155,2.3723290598290596,216.90494671884062,12.050274817713367,0.02558140647044805,43.0
apprenticeharper/DeDRM_tools,4156.0,3437.0,0.0,61.30590899804548,62.713597773202295,3.5087719298245617,648.3996219285293,36.02220121825163,0.06408114171498694,107.0
arc298/instagram-scraper,119.0,94.0,0.0,75.17543532176802,75.17543532176802,0.5,7.505270450170477,0.4169594694539154,0.005003513633446984,6.0
asciimoo/searx,16499.5,12281.0,0.0,75.35941794287578,79.43728760100083,0.7857142857142857,30.97286856988987,1.7207149205494372,0.012090201507293497,142.0
asciinema/asciinema,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
automagica/automagica,2294.0,1166.5,0.0,91.71632357068577,91.71632357068577,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,18.0
automl/auto-sklearn,28200.0,20323.0,0.0,66.88896656690525,67.57590326684411,1.1547619047619047,22.21252488315523,1.2340291601752904,0.006031579168349364,266.0
awslabs/aws-sam-cli,169.0,127.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,7.0
awslabs/serverless-application-model,102.0,72.0,0.0,86.00437763187476,91.1649511888169,0.25,1.1887218755408673,0.06604010419671485,0.0007924812503605782,2.0
bear/python-twitter,2824.0,1258.0,0.0,84.61637660178448,83.50172057551633,0.5714285714285714,20.57142857142857,1.1428571428571428,0.012,20.0
beetbox/beets,18490.0,12034.0,0.0,60.39904028960852,60.830116143429066,2.5,238.60339807279118,13.255744337377287,0.029603517745128736,77.0
belluzj/fantasque-sans,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
benoitc/gunicorn,9552.0,6548.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,154.0
bigchaindb/bigchaindb,7048.0,3717.0,0.0,70.58023709560447,77.56333122130505,1.0,53.77443751081735,2.987468750600964,0.012684582601670092,56.0
binux/pyspider,8920.5,6675.5,0.0,66.6661446846883,66.6661446846883,2.0,118.2232961793201,6.567960898851117,0.025382366147050694,77.0
bitcoinbook/bitcoinbook,103.0,56.0,0.0,97.70532130860113,97.70532130860113,0.3333333333333333,4.0,0.2222222222222222,0.002,12.0
blaze/blaze,18711.5,11600.5,0.0,51.35674218260273,58.02995925829983,2.7515873015873016,350.1886690173561,19.454926056519785,0.04596843794337139,116.5
Blizzard/s2client-proto,104.0,77.5,0.0,64.5286843928011,64.5286843928011,2.0,85.63578362294744,4.757543534608191,0.014272630603824573,2.5
boto/boto3,6447.5,3678.5,0.0,87.65657013649546,83.58475760954266,0.5,6.965784284662087,0.3869880158145604,0.0042568681739601644,28.0
meolu/walle-web,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
mesonbuild/meson,6025.0,4966.5,0.0,54.46451987413471,55.12948093916505,4.060897435897436,1437.8728415067246,79.88182452815137,0.10630441273029057,35.0
mherrmann/fbs,1413.0,1081.0,0.0,74.47760994217245,77.9650535469642,0.5,6.965784284662087,0.3869880158145604,0.0042568681739601644,34.0
michael-lazar/rtv,2329.0,1496.0,0.0,64.42748857162974,79.25931531320724,2.0,83.02635884729514,4.612575491516397,0.01383772647454919,15.0
microsoft/botframework-sdk,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
microsoft/cascadia-code,171.0,128.0,0.0,52.62746035570965,52.62746035570965,2.5258620689655173,785.2013039360752,43.62229466311529,0.06063411644805185,1.0
microsoft/nlp-recipes,17518.0,11096.0,0.0,61.554702660445585,71.09528258054468,2.0,136.95274185696138,7.6084856587200775,0.026212693551603463,113.0
microsoft/nni,27788.0,17965.5,0.0,65.45121581494053,66.71215046062012,3.167783505154639,493.3992693684329,27.4110705204685,0.05351317942364757,203.0
mindsdb/mindsdb,7228.0,4423.0,0.0,73.53299609281606,80.56039045580448,1.0,28.6017461726716,1.5889858984817553,0.007256576518593067,94.5
mingrammer/diagrams,5265.0,2902.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,96.0
minimaxir/textgenrnn,810.0,596.0,0.0,52.22608509915733,70.73852788013546,3.966666666666667,459.91604760212664,25.55089153345148,0.038648407361523245,7.0
mininet/mininet,5826.5,3692.0,0.0,70.58756855753569,76.60207570125633,1.5,54.81181356564148,3.0451007536467487,0.014395021744511906,87.0
Miserlou/Zappa,6691.0,4479.0,0.0,72.80527648132642,75.24420095552102,1.1666666666666665,34.89699375973561,1.938721875540867,0.009254887502163469,35.0
mitmproxy/mitmproxy,3864.0,2802.0,0.0,75.28967674449181,77.90084519954699,1.0,15.509775004326936,0.861654166907052,0.005169925001442312,77.0
mlflow/mlflow,15670.0,11040.0,0.0,64.01614976005304,70.40320334965264,1.1964285714285714,42.793987519471216,2.377443751081734,0.011704911351408706,147.0
modin-project/modin,10553.0,6937.0,0.0,66.42244955894618,70.81143399933823,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,74.0
mongodb/mongo-python-driver,59865.5,37460.5,0.0,59.84688011909598,60.629492667057356,3.5108695652173916,647.6161389438839,35.97867438577133,0.0627313559060202,164.0
MongoEngine/mongoengine,10229.0,6804.0,0.0,53.71982353240591,65.28202410837383,1.5,132.48385620809773,7.360214233783209,0.025051392440780126,63.0
mopidy/mopidy,25426.5,16858.0,0.0,67.02896933609573,78.68992634723779,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,153.0
MrS0m30n3/youtube-dl-gui,3736.5,1890.5,0.0,58.90593177797881,71.28094390289907,2.5,184.68937361058454,10.260520756143585,0.026045937304056792,14.0
