nameWithOwner,url,releases,createdAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs,totalFiles,stars
kemayo/sublime-text-git,https://github.com/kemayo/sublime-text-git.git,9,2011-09-27,2338,1710,17,0,0,0,0,X,51.936276733454974,A,51.936276733454974,A,3.0,383.7898336789724,21.321657426609576,0.04523561956057014,17,2814
keras-rl/keras-rl,https://github.com/keras-rl/keras-rl.git,8,2016-07-02,5937,3842,43,0,6,0,0,X,67.34166317811908,A,74.47898624528277,A,1.5555555555555556,61.021056277764515,3.3900586820980285,0.013287712379549451,49,4685
keras-team/autokeras,https://github.com/keras-team/autokeras.git,37,2017-11-19,10573,6274,81,0,15,0,0,X,62.797624947572054,A,73.17280656299516,A,0.6666666666666666,19.019550008653876,1.0566416671474377,0.005417832221403845,96,7152
keras-team/keras,https://github.com/keras-team/keras.git,23,2015-03-28,25113,17530,169,0,1,2,0,X,75.25183078648277,A,79.11464189723382,A,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,172,48752
Kinto/kinto,https://github.com/Kinto/kinto.git,141,2015-02-25,32259,23322,166,0,6,1,0,X,60.59537852757486,A,66.39176892018239,A,1.0,21.5151339739447,1.1952852207747058,0.008422064766172813,173,3966
kivy/kivy,https://github.com/kivy/kivy.git,6,2010-11-03,89825,50440,431,0,6,4,0,X,57.193526934013235,A,65.71522473415548,A,2.4,218.92106257572138,12.162281254206743,0.029189475010096184,441,11388
kivy/python-for-android,https://github.com/kivy/python-for-android.git,10,2011-11-28,20203,13706,237,0,6,1,0,X,92.09912476895863,A,93.70913383036094,A,0.5,1.0,0.05555555555555555,0.0006666666666666666,244,6017
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty.git,58,2016-10-16,28162,22620,132,0,17,5,0,X,52.645900431764545,A,54.02820239658488,A,3.5227272727272725,547.8213889576907,30.434521608760594,0.05848948488503418,154,9156
Kozea/WeasyPrint,https://github.com/Kozea/WeasyPrint.git,31,2011-08-09,30306,23063,81,0,1,9,0,X,50.05851560936071,A,54.63638264991519,A,3.980769230769231,1964.6642172177912,109.14801206765507,0.1684100078310892,91,3647
kubernetes-client/python,https://github.com/kubernetes-client/python.git,45,2016-10-31,213428,95212,1453,0,1,11,0,X,77.52915270633953,A,81.36306184570199,A,0.5384615384615384,15.509775004326936,0.861654166907052,0.005169925001442312,1465,2803
kubernetes-sigs/kubespray,https://github.com/kubernetes-sigs/kubespray.git,38,2015-10-03,2043,1510,15,0,0,0,0,X,62.11196585192192,A,62.11196585192192,A,1.56,135.6923076923077,7.538461538461539,0.02588726466125215,15,8912
lancopku/pkuseg-python,https://github.com/lancopku/pkuseg-python.git,2,2018-08-05,2390,1509,13,0,1,0,0,X,59.641296768015756,A,59.641296768015756,A,4.5,1052.663503534078,58.481305751893224,0.07761574219606106,14,4889
laramies/theHarvester,https://github.com/laramies/theHarvester.git,7,2011-01-01,4675,3831,54,0,4,0,0,X,63.09341694679778,A,64.80770431425793,A,1.1388888888888888,39.18156856932418,2.1767538094068986,0.011590201507293497,58,3898
LazoCoder/Pokemon-Terminal,https://github.com/LazoCoder/Pokemon-Terminal.git,3,2017-04-18,2073,1447,36,0,1,0,0,X,68.49741091025042,A,71.52433019610802,A,1.0,100.12987383951793,5.562770768862107,0.016688312306586323,37,3474
lektor/lektor,https://github.com/lektor/lektor.git,16,2015-12-19,14541,10754,73,0,1,1,0,X,51.419995274894546,A,52.88211249644247,A,3.142857142857143,891.7768175294409,49.54315652941338,0.0923270943050094,75,3298
liangliangyy/DjangoBlog,https://github.com/liangliangyy/DjangoBlog.git,14,2016-11-02,7263,5127,80,0,16,0,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,96,3039
librosa/librosa,https://github.com/librosa/librosa.git,27,2012-10-20,30866,10192,67,0,0,1,0,X,68.55380033654346,A,58.60046537691622,A,3.6666666666666665,522.9532994813709,29.05296108229838,0.04754120904376099,68,3655
littlecodersh/ItChat,https://github.com/littlecodersh/ItChat.git,13,2016-01-19,2931,2331,17,0,1,0,0,X,58.79008864631357,A,65.19951617213194,A,2.5,163.4985136500136,9.083250758334088,0.027249752275002266,18,20515
lmcinnes/umap,https://github.com/lmcinnes/umap.git,21,2017-07-02,9479,6059,35,0,0,1,0,X,63.14547630190167,A,66.15301829877839,A,2.0,91.83818573204711,5.1021214295581725,0.017924812503605784,36,3967
localstack/localstack,https://github.com/localstack/localstack.git,15,2016-10-25,26346,19759,122,0,38,4,0,X,59.03192722283543,A,60.33174048531313,A,2.0,136.4706304027501,7.581701689041672,0.02723308333814104,164,25164
locustio/locust,https://github.com/locustio/locust.git,27,2011-02-17,11151,7967,65,0,4,0,0,X,69.33443681312195,A,75.19764276630434,A,1.0,27.0,1.5,0.009,69,13170
LonamiWebs/Telethon,https://github.com/LonamiWebs/Telethon.git,40,2016-08-26,25406,13657,132,0,9,1,0,X,59.44435837821769,A,72.68599487219818,A,2.392857142857143,156.78918005423094,8.710510003012832,0.02861223988875238,142,3699
lra/mackup,https://github.com/lra/mackup.git,10,2013-04-06,2042,1061,12,0,0,0,0,X,68.02232636439152,A,72.06516329550436,A,1.5234375,161.49813234061594,8.972118463367552,0.029903179422992678,12,10050
lutris/lutris,https://github.com/lutris/lutris.git,35,2013-10-08,30686,23352,184,0,8,0,0,X,59.09948864468987,A,60.85823699004954,A,2.1575757575757573,183.83671966625712,10.213151092569841,0.025880702085857382,192,3591
lyst/lightfm,https://github.com/lyst/lightfm.git,7,2015-07-30,4743,2492,21,0,1,0,0,X,55.39364862254139,A,64.43796465322242,A,2.6341463414634148,284.4594317038115,15.803301761322862,0.03539939594536321,22,3160
madmaze/pytesseract,https://github.com/madmaze/pytesseract.git,17,2010-10-27,884,678,4,0,0,0,0,X,69.9581050138598,A,69.9581050138598,A,2.156862745098039,1053.1084517779138,58.506025098772994,0.0813765621828388,4,2965
magenta/magenta,https://github.com/magenta/magenta.git,45,2016-05-05,68467,42120,328,0,0,2,0,X,71.11188671569542,A,72.7218319972731,A,2.55,218.9912279734977,12.166179331860985,0.028767496301860256,330,15249
MagicStack/asyncpg,https://github.com/MagicStack/asyncpg.git,21,2016-07-19,16287,11071,49,0,1,0,0,X,66.62765884883767,A,66.62765884883767,A,1.5,36.0,2.0,0.008422064766172813,50,4234
MagicStack/uvloop,https://github.com/MagicStack/uvloop.git,56,2015-11-08,6924,5178,33,0,0,1,0,X,60.98481242574297,A,63.65653605840784,A,1.0,61.021056277764515,3.3900586820980285,0.011623058338621813,34,6981
mahmoud/boltons,https://github.com/mahmoud/boltons.git,18,2013-02-20,18182,9981,61,0,2,3,0,X,45.68346657168201,A,53.205123296776996,A,3.837037037037037,1189.352499554114,66.07513886411745,0.12220095473690802,66,5175
mail-in-a-box/mailinabox,https://github.com/mail-in-a-box/mailinabox.git,12,2013-08-21,7811,4979,21,0,0,0,0,X,56.59228763859114,A,56.59228763859114,A,6.6521739130434785,3247.4008047922434,180.4111558217913,0.2731638324210078,21,9235
mailpile/Mailpile,https://github.com/mailpile/Mailpile.git,8,2011-10-30,33817,24244,154,7,7,16,0,X,56.02834031291982,A,57.62108628872967,A,4.145502645502646,1028.0012846898765,57.111182482770914,0.07917629538637241,184,8167
mantl/mantl,https://github.com/mantl/mantl.git,29,2015-01-27,1893,1208,7,4,0,0,0,X,57.075173890319576,A,57.075173890319576,A,3.888888888888889,1357.3641687865102,75.40912048813945,0.09767276558463775,11,3068
matrix-org/synapse,https://github.com/matrix-org/synapse.git,265,2014-08-11,168614,101494,649,0,21,2,0,X,72.68873633629332,A,73.41449036661743,A,1.5,56.848937171666485,3.158274287314805,0.013287712379549451,672,6285
MechanicalSoup/MechanicalSoup,https://github.com/MechanicalSoup/MechanicalSoup.git,9,2014-05-26,3212,1917,20,0,0,0,0,X,100.0,A,100.0,A,0.0,0.0,0.0,0.0,20,3505
