nameWithOwner;tag;typeRelease;isFirstRow(bool);isNotaMax(bool);isLOCchanged(bool);isMetricChanged(bool);qtDias;porcValF(%);deltaLOC(qtd);deltaSLOC(qtd);deltaMIF(%);deltaMIT(%);deltaDiff(%);deltaEff(%);deltaTimeH(%);deltaBug(%);deltaFiles(qtd);totalFiles(qtd)
ActivityWatch/activitywatch;v0.8.0b9;VR;0;0;0;0;116;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;3
ActivityWatch/activitywatch;v0.8.1;VR;0;0;0;0;132;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;3
ActivityWatch/activitywatch;v0.8.2;VR;0;0;0;0;1;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;3
ActivityWatch/activitywatch;v0.8.3;VR;0;0;0;0;0;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;3
ActivityWatch/activitywatch;v0.8.4;VR;0;0;0;0;27;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;3
ActivityWatch/activitywatch;v0.9.0;VR;0;0;1;1;99;100,0;140;72;9,65;9,65;-17,19;-29,18;-29,18;-18,28;1;4
ActivityWatch/activitywatch;v0.9.1;VR;0;0;0;0;3;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;4
ActivityWatch/activitywatch;v0.9.2;VR;0;0;0;0;2;100,0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;4
ageitgey/face_recognition;v0.1.12;VR;1;0;0;0;41;0;0;0;0;0;0;0;0;0;0;14
ageitgey/face_recognition;v1.2.2;VR;0;0;1;1;354;33,3;592;337;2,54;-6,18;26,95;245,9;245,9;182,14;10;24
aidlearning/AidLearning-FrameWork;V0.59;NM;1;0;0;0;16;0;0;0;0;0;0;0;0;0;0;4
aidlearning/AidLearning-FrameWork;0.60;NM;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4
aidlearning/AidLearning-FrameWork;0.70;NM;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;5
aidlearning/AidLearning-FrameWork;0.72;NM;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;5
aidlearning/AidLearning-FrameWork;V0.73;NM;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;5
aidlearning/AidLearning-FrameWork;V0.74;NM;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;5
aidlearning/AidLearning-FrameWork;v0.75;NM;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;5
aidlearning/AidLearning-FrameWork;0.76;NM;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;5
aidlearning/AidLearning-FrameWork;V0.77;VR;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;34
aidlearning/AidLearning-FrameWork;V0.78;VR;0;0;0;0;22;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.79;VR;0;0;0;0;39;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.79-1;VR;0;0;0;0;2;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.80;VR;0;0;0;0;4;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;V0.81;VR;0;0;0;0;29;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.82;VR;0;0;0;0;31;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.83;VR;0;0;0;0;13;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.84;VR;0;0;0;0;22;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aidlearning/AidLearning-FrameWork;v0.85;VR;0;0;0;0;39;79,4;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;34
aio-libs/aiohttp;v0.9.2;VR;1;0;0;0;380;0;0;0;0;0;0;0;0;0;0;39
aio-libs/aiohttp;v0.9.3;VR;0;0;0;0;14;82,1;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;39
aio-libs/aiohttp;v0.10.0;VR;0;0;1;1;14;85,4;2741;1983;1,92;-0,75;-11,81;-45,89;-45,89;-45,6;9;48
aio-libs/aiohttp;v0.10.1;VR;0;0;1;0;4;85,4;17;9;0,0;0,0;0,0;0,0;0,0;0,0;0;48
aio-libs/aiohttp;v0.10.2;VR;0;0;1;0;2;85,4;8;7;0,0;0,0;0,0;0,0;0,0;0,0;0;48
aio-libs/aiohttp;v0.11.0;VR;0;0;1;0;10;85,4;262;203;0,0;0,0;0,0;0,0;0,0;0,0;0;48
aio-libs/aiohttp;v0.12.0;VR;0;0;0;1;13;83,3;-1056;-697;-0,75;0,12;0,0;-12,07;-12,07;-12,56;0;48
aio-libs/aiohttp;v0.13.0;VR;0;0;1;1;17;83,7;274;220;0,76;0,8;0,0;-3,34;-3,34;-1,97;1;49
aio-libs/aiohttp;v0.13.1;VR;0;0;1;0;2;83,7;14;9;0,0;0,0;0,0;0,0;0,0;0,0;0;49
aio-libs/aiohttp;v0.14.1;VR;0;0;1;1;15;81,8;1268;969;2,04;3,52;0,0;6,91;6,91;4,03;6;55
