nameWithOwner;createdAt;countNV;countNM;countNF;countVR;totRel(qtd);countMetChange;countNotaMax;porcValF(%)(med);qtDiasEntreRel(med);qtDiasEntreChangedRel(med);qtDiasLastFirst;deltaLOC(qtd);deltaSLOC(qtd);deltaMIF;deltaMIT;deltaDiff;deltaEff;deltaTimeH;deltaBug;deltaFiles(qtd);totalFiles(qtd)(med)
beetbox/beets;2010-08-09;0;0;0;31;31;30;0;90,4;49,0;49,0;2152;29384;19256;1,71;4,67;-13,85;-23,39;-23,39;-19,23;93;131,0
belluzj/fantasque-sans;2013-11-18;0;0;13;4;17;3;0;100,0;26,0;181,0;859;84;58;-0,39;6,27;-53,29;-92,42;-92,42;-71,95;1;2,5
benoitc/gunicorn;2009-11-30;0;0;0;25;25;24;25;86,4;30,0;25,5;2337;1591;1073;0,0;0,0;0,0;0,0;0,0;0,0;0;167,0
bigchaindb/bigchaindb;2016-02-08;0;0;0;50;50;43;0;86,6;12,0;15,0;1533;16394;9912;-8,94;-4,81;100,0;85,78;85,78;74,19;110;134,0
billryan/algorithm-exercise;2015-03-22;0;0;0;13;13;1;0;88,9;2,0;128,0;129;21;19;-0,5;-0,5;9,38;56,86;56,86;65,93;0;9,0
binux/pyspider;2014-02-21;0;0;0;13;13;12;0;89,0;60,0;90,0;1501;10829;8092;-11,31;-11,47;300,0;1224,5;1224,5;530,83;61;85,0
bitcoinbook/bitcoinbook;2013-08-11;0;0;0;3;3;1;0;33,3;214,0;243,0;243;350;206;-18,23;-18,23;414,77;2748,93;2748,93;817,15;0;12,0
blaze/blaze;2012-10-26;0;0;0;14;14;13;0;95,95;48,5;34,0;691;12380;7745;-3,59;-6,39;26,67;146,22;146,22;61,25;27;118,5
Blizzard/s2client-proto;2017-07-22;0;0;0;2;2;1;0;75,0;57,5;74,0;74;56;43;11,15;11,15;0,0;25,04;25,04;25,04;3;2,5
boto/boto3;2014-10-03;0;0;0;14;14;10;0;89,3;6,5;7,0;134;4333;2710;3,1;5,44;0,0;0,0;0,0;-16,67;13;28,0
buildbot/buildbot;2010-07-06;1;0;0;29;30;27;0;95,3;30,5;31,0;894;12997;9039;-0,52;-1,79;20,0;22,18;22,18;13,05;52;781,0
burnash/gspread;2011-12-02;0;0;0;27;27;24;0;92,9;17,0;19,0;2074;793;532;12,11;2,67;-46,67;-88,07;-88,07;-77,63;0;12,0
