nameWithOwner;createdAt;countNV;countNM;countNF;countVR;totRel(qtd);countMetChange;countNotaMax;porcValF(%)(med);qtDiasEntreRel(med);qtDiasEntreChangedRel(med);qtDiasLastFirst;deltaLOC(qtd);deltaSLOC(qtd);deltaMIF;deltaMIT;deltaDiff;deltaEff;deltaTimeH;deltaBug;deltaFiles(qtd);totalFiles(qtd)(med)
hugsy/gef;2015-03-26;0;0;0;7;7;5;0;80,0;161,0;161,0;842;-190;-59;9,56;5,45;-24,69;-49,73;-49,73;-37,63;-1;5,0
hylang/hy;2012-12-15;0;0;0;8;8;6;0;82,9;155,5;181,5;1111;1324;1189;-3,18;-0,53;180,0;485,84;485,84;232,46;-11;41,0
HypothesisWorks/hypothesis;2013-03-10;0;0;0;340;340;310;0;99,4;1,0;1,0;625;13366;8903;-3,28;-2,16;14,83;49,59;49,59;20,75;31;320,0
idealo/imagededup;2019-04-05;0;0;0;4;4;2;0;91,7;30,0;32,0;64;480;347;0,19;-5,98;0,0;0,0;0,0;0,0;1;36,0
IDSIA/sacred;2014-03-31;0;0;0;9;9;8;0;83,7;208,0;162,0;1370;10143;7137;-12,9;-6,78;25,4;53,99;53,99;16,67;45;98,0
imWildCat/scylla;2018-04-10;0;0;0;7;7;5;0;95,0;19,0;28,0;483;1223;776;-8,66;-15,08;0,0;0,0;0,0;0,0;8;57,0
instagrambot/instabot;2017-01-13;0;0;0;57;57;48;0;46,4;2,0;2,0;736;5832;4663;-19,14;-14,74;12,5;20,36;20,36;8,05;84;47,0
iodide-project/pyodide;2018-02-23;0;0;0;23;23;17;0;98,6;21,0;21,0;560;1857;1342;-6,72;-4,21;-14,54;-32,41;-32,41;-32,98;17;69,0
iperov/DeepFaceLab;2018-06-04;0;0;0;2;3;1;0;94,65;337,5;22,0;22;-473;-300;2,87;0,63;-11,1;-25,02;-25,02;-25,82;8;121,0
ipython/ipython;2010-05-10;0;0;0;28;28;25;0;95,7;31,0;31,0;2268;-19929;-10129;0,26;1,34;6,06;-8,66;-8,66;-21,68;-311;350,0
isocpp/CppCoreGuidelines;2015-08-19;2;0;0;2;4;1;0;58,35;38,0;76,0;76;60;43;15,35;9,9;-25,78;-33,55;-33,55;-33,28;1;2,5
iterative/dvc;2017-03-04;0;0;0;247;240;222;0;95,2;2,0;2,0;1156;39209;29009;16,03;18,11;-4,91;57,17;57,17;36,19;310;246,0
jackzhenguo/python-small-examples;2019-11-17;1;0;0;4;5;3;0;100,0;19,0;19,0;185;-194;-261;-3,46;-5,15;0,0;0,0;0,0;0,0;3;72,0
jakubroztocil/httpie;2012-02-25;0;0;0;34;34;31;0;100,0;0,0;0,0;2336;2877;2138;-14,62;-11,52;-7,89;172,0;172,0;75,05;40;20,0
jarun/buku;2015-11-01;0;0;10;27;37;22;1;81,8;36,0;58,0;1479;4584;3625;-48,72;-48,72;1,25;131,79;7,32;0,03;17;11,0
jarun/googler;2015-08-16;0;19;13;0;32;0;0;nan;41,0;nan;1479;0;0;0;0;0;0;0;0;0;nan
jayfk/statuspage;2016-02-26;0;0;0;12;12;7;0;75,0;2,5;6,0;169;435;321;-3,09;-3,09;-76,19;-95,59;-95,59;-73,91;2;4,0
jazzband/django-debug-toolbar;2008-08-28;0;0;0;2;2;1;0;91,15;967,5;7,0;7;244;170;-0,16;-1,44;33,33;5,56;5,56;0,0;1;56,5
jazzband/pip-tools;2012-09-10;3;0;0;33;36;31;0;95,3;21,0;21,0;1168;3870;2943;11,34;6,13;-25,0;-30,87;-30,87;9,61;11;42,0
jazzband/tablib;2011-03-28;0;0;0;4;4;3;0;90,9;89,5;86,0;210;-1363;-341;3,96;9,71;-28,0;-60,02;-60,02;-47,99;-4;33,0
jbarlow83/OCRmyPDF;2013-12-20;0;0;0;5;7;4;0;100,0;37,0;31,5;156;800;682;-2,48;-2,31;6,09;10,94;10,94;56,8;6;13,0
jiaaro/pydub;2011-05-02;0;0;0;29;29;26;0;92,3;67,0;67,0;2049;846;612;-5,44;10,23;-29,75;-2,16;-2,16;-5,41;3;13,0
jisaacks/GitGutter;2012-12-08;0;0;0;50;50;41;0;100,0;18,5;26,0;2235;4166;2068;24,15;37,87;50,84;97,03;97,03;17,89;21;22,0
jpadilla/django-rest-framework-jwt;2014-01-16;0;0;0;16;16;14;0;95,0;44,5;44,5;1028;674;392;-21,34;-6,8;140,0;681,32;681,32;192,99;2;20,0
jpadilla/pyjwt;2011-02-24;0;0;0;24;24;21;0;83,95;34,5;41,0;1717;3480;2277;62,28;52,1;-67,86;-95,54;-95,54;-84,88;25;23,0
jrnl-org/jrnl;2012-03-29;0;0;0;21;21;19;0;100,0;35,0;28,0;2483;2447;1854;-12,24;-9,53;-0,3;99,76;99,76;138,61;19;13,0
Jrohy/multi-v2ray;2018-05-06;0;0;0;36;36;33;0;100,0;2,5;3,0;405;1589;1311;-18,19;-11,09;24,6;93,74;93,74;23,77;6;29,0
kemayo/sublime-text-git;2011-09-27;0;0;0;9;9;8;0;100,0;6,0;4,5;369;407;316;-0,47;-0,47;-4,35;-33,87;-33,87;-20,11;2;14,0
keras-rl/keras-rl;2016-07-02;0;0;0;8;8;5;0;87,65;91,0;121,0;561;2144;1193;1,55;15,15;-51,08;-89,63;-89,63;-46,56;19;34,5
keras-team/autokeras;2017-11-19;0;0;0;37;37;33;1;96,7;5,0;8,0;946;10465;6178;-37,2;-28,3;0,67;19,02;1,06;0,01;94;37,0
keras-team/keras;2015-03-28;0;0;0;23;23;22;0;93,5;28,0;27,0;1145;-4839;-1597;35,87;28,74;-85,21;-99,71;-99,71;-97,69;29;166,0
Kinto/kinto;2015-02-25;0;0;0;141;141;112;0;96,2;7,0;9,0;1926;31830;23051;-22,18;-14,74;100,0;804,97;804,97;431,37;162;148,0
kivy/kivy;2010-11-03;0;0;0;6;6;5;0;97,25;377,5;327,0;1685;26430;15239;-1,46;-3,38;10,83;29,63;29,63;13,76;86;417,0
kivy/python-for-android;2011-11-28;0;0;0;10;10;9;6;96,95;97,5;91,0;1012;1270;1615;4,34;4,77;0,0;0,0;0,0;0,0;47;237,0
kovidgoyal/kitty;2016-10-16;0;0;0;58;58;56;0;85,45;16,0;16,5;1237;21566;17214;7,97;10,81;-31,2;-74,41;-74,41;-57,04;117;85,0
Kozea/WeasyPrint;2011-08-09;0;0;0;31;31;28;0;94,3;38,0;39,5;1355;7614;6463;1,25;4,25;-40,29;-62,01;-62,01;-30,94;40;56,0
kubernetes-client/python;2016-10-31;0;0;0;45;45;36;0;99,0;18,0;24,0;1205;122018;59750;18,37;3,55;7,69;552,37;552,37;226,19;840;1175,0
lancopku/pkuseg-python;2018-08-05;0;0;0;2;2;1;0;95,45;98,5;37,0;37;-634;-1251;61,76;61,76;-33,68;-68,62;-68,62;-54,24;-3;12,5
lanpa/tensorboardX;2017-06-13;0;0;0;9;9;8;0;61,2;69,0;83,0;805;6344;3975;0,93;-1,97;-32,67;-70,57;-70,57;-44,87;60;67,0
laramies/theHarvester;2011-01-01;0;0;0;7;7;6;0;92,8;48,0;31,5;1274;1584;2167;-12,73;-0,12;0,0;95,49;95,49;74,08;11;69,0
LazoCoder/Pokemon-Terminal;2017-04-18;0;0;0;3;3;2;0;97,1;309,0;468,5;937;546;375;-6,05;-2,53;-50,0;-29,68;-29,68;-22,65;14;35,0
lektor/lektor;2015-12-19;0;0;0;16;16;11;0;96,9;43,0;51,0;1133;6001;4554;5,49;-1,58;-26,94;-17,22;-17,22;30,51;24;64,0
liangliangyy/DjangoBlog;2016-11-02;0;0;0;14;14;13;14;84,8;44,0;38,0;1280;5409;4188;0,0;0,0;0,0;0,0;0,0;0,0;48;65,0
librosa/librosa;2012-10-20;0;0;0;27;27;24;0;100,0;85,0;89,0;2221;26457;9084;-4,74;8,96;-27,37;-54,46;-54,46;-38,78;48;56,0
littlecodersh/ItChat;2016-01-19;0;0;0;13;13;12;0;94,4;9,0;8,5;233;943;833;-1,16;0,98;9,38;68,67;68,67;81,78;3;16,0
lmcinnes/umap;2017-07-02;0;0;0;22;21;21;1;95,0;28,0;25,0;953;7441;5066;-36,85;-33,85;2,0;91,84;5,1;0,02;30;20,0
localstack/localstack;2016-10-25;0;0;0;16;15;15;0;73,8;33,0;33,0;1295;25117;18838;-20,54;-25,1;100,0;803,35;803,35;437,72;136;107,5
locustio/locust;2011-02-17;0;0;0;28;27;25;0;94,2;1,5;2,0;1017;6448;4758;20,07;17,35;-25,0;-72,52;-72,52;-69,6;38;55,0
LonamiWebs/Telethon;2016-08-26;0;0;0;40;40;39;0;100,0;5,5;5,0;500;7209;4072;-0,58;4,7;-11,38;-44,69;-44,69;-19,59;31;48,5
lra/mackup;2013-04-06;0;0;0;10;10;6;0;100,0;74,5;96,0;599;-11;-2;-0,63;-0,85;15,29;67,58;67,58;30,47;0;12,0
lutris/lutris;2013-10-08;5;0;0;31;35;30;0;98,4;17,5;19,0;1213;13992;10018;12,66;9,19;-7,19;3,43;3,43;-3,06;81;129,0
lyst/lightfm;2015-07-30;0;0;0;7;7;5;0;94,1;182,0;182,0;731;1405;674;2,81;-2,99;-6,51;-44,88;-44,88;-22,31;5;17,0
madmaze/pytesseract;2010-10-27;0;0;0;17;17;16;10;100,0;54,0;51,0;1067;673;536;-29,68;-29,68;2,14;864,65;48,04;0,07;1;3,0
magenta/magenta;2016-05-05;0;0;0;45;45;39;0;99,1;16,0;19,0;1349;54161;34324;-13,11;-5,25;308,0;3006,67;3006,67;717,28;240;237,0
MagicStack/asyncpg;2016-07-19;0;0;0;21;21;20;0;97,8;35,0;39,0;1213;8944;6085;-1,19;-0,63;-11,11;-39,34;-39,34;-22,24;17;45,0
MagicStack/uvloop;2015-11-08;0;0;0;56;56;52;0;100,0;6,0;6,0;1299;3351;2523;30,17;35,87;-60,99;-79,37;-79,37;-68,32;20;23,0
mahmoud/boltons;2013-02-20;0;0;0;18;18;17;0;92,3;2,5;1,0;1345;5518;3254;-14,14;-2,24;-15,77;20,14;20,14;8,37;15;64,0
mail-in-a-box/mailinabox;2013-08-21;0;0;0;12;12;8;0;100,0;33,0;33,0;1898;2776;1722;0,8;0,8;30,8;9,57;9,57;0,0;4;21,0
mailpile/Mailpile;2011-10-30;0;0;0;8;8;7;0;57,25;153,0;128,0;1816;23497;16565;-1,88;-0,97;28,68;148,83;148,83;85,89;88;111,0
mantl/mantl;2015-01-27;0;0;0;29;29;12;0;63,6;5,0;30,5;784;1539;1117;-17,1;-13,34;159,26;2056,22;2056,22;607,07;9;11,0
matrix-org/synapse;2014-08-11;0;0;0;268;265;179;0;86,1;4,0;8,0;1960;138447;82273;-6,59;-6,59;50,0;99,47;99,47;47,64;452;445,0
matterport/Mask_RCNN;2017-10-19;1;0;0;2;3;1;0;100,0;34,0;113,0;113;527;288;-2,72;-3,14;-2,17;24,86;24,86;31,71;1;7,5
MechanicalSoup/MechanicalSoup;2014-05-26;0;0;0;9;9;8;6;100,0;212,0;179,5;1372;2540;1584;0,0;0,0;0,0;0,0;0,0;0,0;11;13,0
meolu/walle-web;2015-09-11;0;0;17;3;20;2;0;100,0;0,0;64,0;128;1177;657;2,3;3,7;-9,17;-29,36;-29,36;-11,7;11;90,0
mesonbuild/meson;2014-05-14;0;0;0;67;65;65;0;92,4;31,0;32,0;2212;30174;21701;65,3;65,3;-80,25;-98,49;-98,49;-93,03;292;166,0
mherrmann/fbs;2017-12-15;0;0;0;81;81;68;0;88,2;2,0;3,0;798;2865;2092;-1,5;6,6;-50,0;-90,48;-90,48;-78,83;58;36,0
micahflee/onionshare;2014-05-20;0;0;0;19;19;17;0;93,1;83,0;83,0;1608;13148;9238;14,53;-5,98;-55,56;-90,77;-90,77;-80,7;67;29,0
michael-lazar/rtv;2015-02-08;0;0;0;38;38;34;0;100,0;33,5;35,5;1519;12731;7818;-29,31;-26,46;187,49;1936,0;1936,0;780,79;38;30,0
microsoft/botframework-sdk;2016-03-03;0;0;75;1;76;0;0;100,0;5,5;nan;1519;0;0;0;0;0;0;0;0;0;3,0
microsoft/cascadia-code;2019-07-10;0;0;2;5;6;3;0;100,0;46,0;49,0;222;150;119;4,99;4,99;16,57;270,39;270,39;72,29;1;2,0
microsoft/nlp-recipes;2019-04-05;0;0;0;5;5;3;0;92,0;61,0;65,0;193;14312;8787;-5,5;-5,64;35,63;178,06;178,06;108,82;42;113,0
microsoft/nni;2018-06-01;0;0;0;22;22;20;0;91,95;29,0;29,0;624;46270;29683;-16,17;-8,2;53,2;170,63;170,63;75,69;306;210,0
mindsdb/mindsdb;2018-08-02;0;0;0;4;4;3;0;73,15;96,5;67,0;204;-2758;-1302;5,25;-0,92;-66,67;-95,47;-95,47;-86,1;-53;94,5
mingrammer/diagrams;2020-02-02;0;0;0;27;26;26;27;99,0;4,0;4,0;143;4021;2117;0,0;0,0;0,0;0,0;0,0;0,0;93;96,0
minimaxir/textgenrnn;2017-08-07;0;0;0;12;12;10;0;100,0;18,0;18,0;650;446;362;-23,21;0,65;30,67;107,51;107,51;58,81;2;7,0
mininet/mininet;2011-04-21;0;0;0;3;3;2;0;70,1;706,0;416,0;832;265;139;-0,9;-0,12;0,0;0,0;0,0;0,0;0;87,0
Miserlou/Zappa;2016-01-20;0;0;0;6;6;5;0;85,7;88,0;18,0;514;944;799;6,06;7,05;-14,29;-57,09;-57,09;-43,19;4;35,0
mitmproxy/mitmproxy;2010-02-16;0;0;0;33;33;29;0;92,6;39,0;42,0;2424;55432;41668;-19,82;-15,28;50,0;390,71;390,71;234,02;440;445,0
mlflow/mlflow;2018-06-05;0;0;0;29;29;25;0;89,2;22,0;33,0;729;56011;37768;-17,15;-14,24;50,0;385,4;385,4;246,71;295;212,0
modin-project/modin;2018-06-21;0;0;0;27;26;26;0;79,7;22,0;22,0;730;20627;14282;40,41;27,37;-66,67;-98,4;-98,4;-92,84;145;128,0
mongodb/mongo-python-driver;2009-01-15;0;0;0;6;6;5;0;97,05;63,5;60,0;359;3140;2484;2,27;1,93;-0,13;12,02;12,02;5,01;15;164,0
MongoEngine/mongoengine;2012-03-05;0;0;0;30;30;22;0;87,9;13,5;76,5;1774;7790;5221;-12,75;-15,44;44,27;262,15;262,15;193,51;22;63,0
mopidy/mopidy;2009-12-23;0;0;0;9;9;8;0;97,4;0,0;0,0;2234;-5295;-3729;-18,01;-26,24;200,0;6181,34;6181,34;1646,04;-21;153,0
MrS0m30n3/youtube-dl-gui;2014-03-01;0;0;0;3;3;2;0;78,6;396,0;420,0;840;245;239;4,06;1,53;-2,73;-11,67;-11,67;-16,49;10;14,0
msiemens/tinydb;2013-07-12;0;0;0;50;50;45;0;90,0;0,0;0,0;1815;884;426;-16,83;-27,2;87,5;97,0;97,0;73,44;-3;20,0
mstamy2/PyPDF2;2012-01-06;0;0;0;3;3;1;0;75,0;303,0;316,0;316;34;22;0,0;0,0;0,0;0,0;0,0;0,0;0;16,0
mwaskom/seaborn;2012-06-18;0;0;0;18;18;17;0;94,45;82,5;72,0;2316;11117;7187;96,09;74,09;-90,6;-99,96;-99,96;-99,6;63;73,0
mwouts/jupytext;2018-06-15;0;0;0;82;81;75;0;95,0;5,0;6,0;742;21679;14428;38,77;14,84;-50,0;-81,69;-81,69;-75,0;202;125,0
MycroftAI/mycroft-core;2016-05-20;1;0;0;121;122;108;0;85,9;13,0;14,0;1467;27080;15628;21,15;8,24;10,53;175,92;175,92;36,25;125;134,0
nameko/nameko;2013-02-26;0;0;0;38;38;34;0;91,65;29,5;29,5;1522;8225;5479;1,11;4,15;0,0;4,06;4,06;3,43;14;121,0
nbedos/termtosvg;2018-06-09;0;0;0;12;12;10;0;85,7;31,5;31,5;573;920;689;11,1;2,56;-14,29;-88,25;-88,25;-86,3;4;14,0
NervanaSystems/neon;2014-10-16;0;0;0;32;32;31;0;94,75;27,0;24,0;977;38602;24637;-9,56;-2,39;42,15;26,62;26,62;0,57;135;184,0
netbox-community/netbox;2016-02-29;15;0;0;129;143;126;129;87,2;7,0;8,0;1466;51259;39152;0,0;0,0;0,0;0,0;0,0;0,0;419;276,0
Netflix/metaflow;2019-09-17;0;0;0;6;6;4;0;90,0;38,5;38,5;150;222;179;0,0;-1,19;0,0;0,0;0,0;0,0;0;100,0
Netflix/security_monkey;2014-06-27;1;0;0;17;18;16;0;81,2;44,5;44,5;1189;29937;18937;12,85;11,15;-70,83;-90,87;-90,87;-80,95;263;186,0
networkx/networkx;2010-09-06;9;0;0;15;24;11;0;99,4;25,0;10,0;790;23980;11445;-7,48;-9,75;26,98;187,04;187,04;133,79;86;538,0
nficano/pytube;2012-03-18;0;0;0;3;3;2;0;87,5;0,0;0,0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0;8,0
nicolargo/glances;2011-12-04;0;0;0;19;19;17;0;95,8;53,0;53,0;1695;7765;4257;2,69;0,73;11,96;2,69;2,69;-2,94;42;96,0
nl8590687/ASRT_SpeechRecognition;2017-03-06;0;0;0;8;8;7;0;100,0;101,0;79,0;707;-2591;-1065;-0,83;0,68;26,32;26,39;26,39;34,81;-13;20,0
NTMC-Community/MatchZoo;2017-06-08;0;0;0;2;2;1;0;79,7;426,5;188,0;188;3429;1859;1,57;-1,37;27,98;0,0;0,0;0,0;21;143,5
NullArray/AutoSploit;2018-01-30;0;0;0;5;5;4;0;66,7;67,0;142,0;552;1495;1081;-17,14;-8,72;50,0;600,96;600,96;235,16;6;19,0
nvbn/thefuck;2015-04-08;0;0;0;15;15;14;0;97,4;38,0;34,0;1074;3544;2696;-0,75;-0,96;0,0;0,0;0,0;16,67;76;315,0
nvdv/vprof;2015-06-29;0;0;0;19;19;18;0;86,7;56,0;48,0;1480;1931;1423;-19,56;-9,33;32,24;77,13;77,13;146,36;18;26,0
nylas/sync-engine;2014-01-15;0;0;0;3;3;2;0;82,5;210,0;438,5;877;42992;30229;-5,2;-6,75;0,0;236,5;236,5;192,99;393;275,0
OctoPrint/OctoPrint;2012-12-31;0;0;0;92;91;67;0;89,4;7,0;15,0;2443;42788;26639;43,43;21,94;-55,08;-93,37;-93,37;-85,82;195;135,5
offu/WeRoBot;2013-01-30;0;0;0;26;26;23;0;94,4;28,5;38,0;2419;6361;3864;3,58;18,06;0,0;0,0;0,0;0,0;39;40,0
OlafenwaMoses/ImageAI;2018-03-19;0;0;0;9;9;5;0;63,2;23,0;47,0;475;10220;5857;0,0;-0,37;-8,47;-20,24;-20,24;-20,45;117;76,0
OmkarPathak/pygorithm;2017-07-31;0;0;0;3;3;2;0;97,6;12,0;9,5;19;7168;2676;-12,13;-10,16;8,0;84,58;84,58;39,07;44;62,0
openai/gym;2016-04-27;0;0;0;5;5;4;0;78,5;280,0;179,5;847;425;598;-8,14;-6,22;-1,56;31,79;31,79;39,05;-2;138,0
openai/universe;2016-12-04;0;0;0;2;2;1;0;83,4;45,5;32,0;32;277;250;0,19;-2,14;4,17;5,53;5,53;-3,43;1;114,5
OpenDroneMap/ODM;2014-09-25;0;1;0;12;13;7;0;70,35;111,0;128,0;1357;5875;4154;-11,2;-7,52;-14,86;-3,38;-3,38;32,6;33;32,0
OpenMined/PySyft;2017-07-18;0;0;0;10;10;9;0;86,6;12,5;9,0;126;14952;8762;0,55;1,71;0,0;-1,08;-1,08;-16,14;89;223,0
OpenNMT/OpenNMT-py;2017-02-22;0;0;0;23;23;22;0;98,7;22,0;19,5;651;7930;5588;8,44;2,73;-14,04;-28,03;-28,03;-14,46;51;89,0
orakaro/rainbowstream;2014-05-05;0;0;0;3;3;2;0;61,5;65,0;58,0;116;5;1;0,0;0,0;0,0;0,0;0,0;0,0;0;13,0
p-e-w/maybe;2016-01-24;0;0;0;5;5;4;0;80,0;6,0;6,5;63;88;67;20,62;20,62;-45,76;-70,2;-70,2;-61,07;2;5,0
PaddlePaddle/ERNIE;2019-03-03;0;0;0;4;4;3;0;72,35;90,0;45,0;209;-1120;-1026;-1,3;-5,93;19,92;-13,2;-13,2;0,22;0;71,0
PaddlePaddle/models;2017-04-20;0;0;0;7;7;6;0;91,9;94,0;82,0;551;129828;93874;9,34;-0,72;-3,22;27,76;27,76;33,2;763;823,0
pallets/click;2014-04-24;0;0;0;3;3;1;0;94,9;49,0;49,0;49;-9;-7;0,0;0,0;0,0;0,0;0,0;0,0;0;59,0
pallets/flask-sqlalchemy;2010-06-01;0;0;0;9;9;8;0;100,0;213,0;110,0;1653;1065;747;14,31;18,16;-50,0;-42,29;-42,29;0,0;28;21,0
pallets/flask;2010-04-06;0;0;0;10;10;9;0;93,0;1,0;0,0;708;2411;1059;11,87;1,76;-38,89;-72,25;-72,25;-60,45;6;71,0
pallets/jinja;2010-10-17;0;0;0;7;7;5;0;82,6;117,0;117,0;887;64;68;9,19;12,54;-12,2;-46,14;-46,14;-11,33;-9;69,0
pallets/werkzeug;2010-10-18;0;0;0;13;13;10;0;92,5;43,0;46,0;845;28;540;4,11;3,52;-9,09;-44,97;-44,97;-36,72;-10;146,0
pandolia/qqbot;2016-07-29;0;0;0;79;79;63;0;70,4;2,0;3,0;846;3014;2316;-34,02;-31,13;647,41;5421,28;5421,28;1314,19;39;27,0
pirate/ArchiveBox;2017-05-05;0;0;0;9;9;8;0;90,9;27,0;24,0;603;2113;1507;78,14;77,46;-43,75;-88,03;-88,03;-76,11;10;11,0
platformio/platformio-core;2014-05-09;0;0;0;98;98;88;0;90,0;12,5;14,5;2169;23117;17550;-18,3;-19,57;150,0;1352,85;1352,85;455,69;121;78,5
plotly/dash;2015-04-10;0;0;0;22;22;18;0;97,3;11,0;12,5;325;5937;4492;-6,24;-5,54;15,72;66,53;66,53;57,14;21;73,0
PokemonGoF/PokemonGo-Bot;2016-07-20;0;0;0;7;7;5;0;88,6;20,0;20,0;285;-341;-41;0,0;-0,18;2,63;48,76;48,76;19,72;6;105,0
posativ/isso;2012-10-17;0;0;0;21;21;14;0;100,0;27,0;49,5;1813;2755;1625;21,65;12,09;-63,08;-96,86;-96,86;-91,5;13;34,0
postmanlabs/httpbin;2011-05-20;0;0;0;4;4;3;0;100,0;558,0;8,0;1183;1069;820;-2,51;-2,9;0,0;0,0;0,0;0,0;0;8,0
powerline/powerline;2012-06-12;0;0;0;20;20;19;0;94,3;48,0;47,0;2084;11972;9068;-2,51;0,48;11,11;69,04;69,04;47,13;62;157,5
pre-commit/pre-commit;2014-03-13;0;0;0;60;59;55;0;89,7;13,5;14,0;1028;3465;2902;-9,44;-13,97;0,0;54,28;54,28;56,99;10;104,5
PrefectHQ/prefect;2018-06-29;0;0;0;52;51;49;0;92,1;9,0;9,0;680;78217;51425;-1,38;-1,73;-22,81;-34,77;-34,77;-34,25;446;361,5
pritunl/pritunl;2013-09-13;0;0;0;447;447;332;0;89,6;2,0;2,0;2440;23675;18028;14,08;14,9;-25,0;-57,38;-57,38;-43,45;234;231,0
PyCQA/pycodestyle;2009-10-02;0;0;0;4;4;3;0;67,5;172,5;118,0;345;-86;-47;0,22;0,22;0,0;180,74;180,74;87,16;0;40,0
pydanny/cookiecutter-django;2013-08-14;0;0;0;13;12;11;13;66,0;64,0;166,0;2483;837;692;0,0;0,0;0,0;0,0;0,0;0,0;40;44,0
PyGithub/PyGithub;2012-02-25;0;0;0;24;24;21;0;95,7;36,0;39,0;753;13017;10024;4,13;5,56;0,0;0,0;0,0;0,0;34;180,5
pymc-devs/pymc3;2009-05-05;1;0;0;20;21;18;0;96,0;93,0;88,5;1833;27637;16954;2,22;-2,47;64,36;325,04;325,04;172,1;55;155,0
pypa/virtualenv;2011-03-06;0;0;0;3;3;2;0;90,5;252,0;241,5;483;1592;1119;-9,52;-10,5;29,63;130,73;130,73;84,58;7;21,0
pytest-dev/pytest;2015-06-15;0;0;0;27;27;24;0;88,1;8,0;7,5;301;-1195;-1052;0,57;0,69;0,0;-0,14;-0,14;-1,4;2;202,0
python-attrs/attrs;2015-01-27;0;0;0;8;8;6;0;91,0;6,5;6,5;789;192;219;0,0;0,82;45,72;116,2;116,2;48,72;4;26,5
python-pillow/Pillow;2012-07-24;0;0;0;32;31;31;0;99,25;74,0;73,0;1729;11770;9108;-15,82;-14,98;21,67;320,39;320,39;290,4;11;273,0
python-poetry/poetry;2018-02-28;0;0;0;84;84;78;0;84,7;4,0;5,0;848;22008;16380;-0,59;-7,71;0,0;409,85;409,85;209,59;144;254,5
python-telegram-bot/python-telegram-bot;2015-07-07;0;0;0;74;74;66;8;96,3;9,5;13,0;1778;36257;17865;-24,05;-27,56;1,25;68,34;3,8;0,02;235;147,5
python-visualization/folium;2013-05-09;0;0;0;19;19;16;0;100,0;98,0;98,5;1980;9815;6027;-6,89;-0,65;115,87;416,81;416,81;124,82;48;52,0
pytorch/fairseq;2017-08-29;0;0;0;10;10;9;0;94,65;65,5;34,0;537;37990;26624;-17,79;-13,28;63,07;309,74;309,74;106,3;234;152,5
pytorch/ignite;2017-11-23;0;0;0;8;8;7;0;95,05;126,5;116,0;739;39421;24444;-14,42;-23,75;140,0;1106,65;1106,65;327,53;176;133,0
PyTorchLightning/pytorch-lightning;2019-03-31;0;0;0;21;18;20;0;91,1;10,0;10,0;342;26861;13269;-21,46;-16,37;164,58;1617,0;1617,0;632,01;125;109,0
pytransitions/transitions;2014-10-12;0;0;0;20;19;17;0;95,2;38,5;42,0;1202;4083;2651;-18,23;-3,65;46,67;198,45;198,45;98,97;14;21,0
QingdaoU/OnlineJudge;2015-08-15;0;0;0;6;6;5;6;85,4;39,5;36,0;555;-1260;-1068;0,0;0,0;0,0;0,0;0,0;0,0;16;176,5
Qiskit/qiskit-terra;2017-03-03;0;0;0;55;55;49;0;97,6;11,0;13,0;1025;108960;56015;2,31;0,47;0,0;-61,09;-61,09;-53,31;652;181,0
Qix-/better-exceptions;2017-03-12;0;0;0;2;2;1;0;67,55;155,0;249,0;249;171;130;15,19;12,03;-9,09;-32,31;-32,31;-23,93;7;15,5
qiyeboy/IPProxyPool;2016-07-21;0;0;0;2;2;1;0;93,55;144,5;74,0;74;234;159;-1,08;-2,99;0,0;96,5;96,5;76,19;0;31,0
quantopian/zipline;2012-10-19;0;0;0;11;11;10;0;94,6;104,0;103,5;984;47460;30380;-10,59;-3,57;6,21;5,28;5,28;24,2;86;250,0
r0oth3x49/udemy-dl;2017-05-01;0;0;0;3;3;2;0;88,2;84,0;71,0;142;523;152;-15,63;4,69;180,0;938,41;938,41;403,31;6;17,0
RaRe-Technologies/gensim;2011-02-10;0;0;0;33;33;32;0;98,1;40,0;38,5;1642;57426;22162;-8,91;-15,58;-18,44;-56,65;-56,65;-44,89;132;146,0
RasaHQ/rasa;2016-10-14;0;0;0;34;34;31;0;89,1;5,0;5,0;496;60898;43201;-10,7;-8,95;7,42;45,35;45,35;35,39;273;347,0
rasbt/mlxtend;2014-08-14;3;0;0;18;21;17;0;86,75;83,0;78,0;1278;14568;8319;-8,0;-8,6;33,33;165,35;165,35;104,71;74;160,5
ray-project/ray;2016-10-25;0;0;0;34;34;33;0;92,6;31,5;31,0;1130;132379;89276;4,36;10,34;-34,86;-73,68;-73,68;-60,69;813;451,5
ReactiveX/RxPY;2013-03-22;0;0;0;5;5;4;0;97,7;604,0;411,0;1930;13543;6312;-8,7;-9,23;0,0;265,04;265,04;167,66;45;393,0
ReFirmLabs/binwalk;2013-11-15;0;0;0;4;4;2;0;97,25;383,5;953,0;1906;2145;1412;21,22;14,86;-9,07;-45,33;-45,33;-24,54;18;37,0
reorx/httpstat;2016-08-30;0;0;0;4;4;3;0;100,0;12,0;12,0;28;87;68;-3,27;-3,27;2,98;20,68;20,68;16,78;0;2,0
ritiek/spotify-downloader;2016-07-06;0;0;0;23;22;20;12;91,3;19,0;19,0;661;4209;2240;94,83;89,0;-100,0;-100,0;-100,0;-100,0;52;64,0
robinhood/faust;2017-03-08;3;0;0;0;3;0;0;nan;7,0;nan;661;0;0;0;0;0;0;0;0;0;nan
