nameWithOwner,validFiles,invalidFiles,filesNotRead,filesNoMetrics
10se1ucgo/DisableWinTracking,0.0,100.0,0.0,0.0
1adrianb/face-alignment,65.0,0.0,0.0,35.0
521xueweihan/HelloGitHub,100.0,0.0,0.0,0.0
a1studmuffin/SpaceshipGenerator,100.0,0.0,0.0,0.0
ab77/netflix-proxy,66.66666666666667,33.33333333333333,0.0,0.0
aboul3la/Sublist3r,25.0,33.33333333333333,29.166666666666664,12.5
achael/eht-imaging,84.84848484848484,1.4718614718614718,0.0,13.961038961038959
ActivityWatch/activitywatch,100.0,0.0,0.0,0.0
ageitgey/face_recognition,34.52380952380952,0.0,0.0,65.47619047619048
aidlearning/AidLearning-FrameWork,79.41176470588235,2.941176470588235,17.647058823529413,0.0
aio-libs/aiohttp,91.66666666666666,1.5625,0.0,5.147058823529411
airbnb/knowledge-repo,96.34146341463415,0.0,3.6585365853658534,0.0
AirtestProject/Airtest,80.41028911564626,1.0310374149659864,5.155187074829932,13.403486394557824
ajenti/ajenti,88.6873543123543,10.526315789473683,1.9138755980861244,0.0
albumentations-team/albumentations,72.90209790209789,0.0,13.131313131313131,12.817362817362817
aleju/imgaug,78.76712328767124,0.0,0.8264462809917356,20.54794520547945
alexjc/neural-enhance,100.0,0.0,0.0,0.0
alicevision/meshroom,94.36619718309859,0.0,5.633802816901409,0.0
allenai/allennlp,92.13166388835297,0.0,7.864344311021281,0.0
altair-viz/altair,95.51488334674175,0.0,4.184759770275949,0.0
amperser/proselint,100.0,0.0,0.0,0.0
amueller/word_cloud,88.23529411764706,8.823529411764707,2.941176470588235,0.0
androguard/androguard,73.68421052631578,2.2222222222222223,3.225806451612903,22.105263157894736
ankitects/anki,91.59663865546219,0.0,2.479338842975207,5.88235294117647
ansible-community/molecule,82.9896907216495,0.0,12.946428571428573,3.286384976525822
apachecn/AiLearning,37.94721407624633,62.05278592375366,0.0,0.0
apprenticeharper/DeDRM_tools,28.57142857142857,70.75471698113208,0.0,0.0
arc298/instagram-scraper,66.66666666666666,0.0,16.666666666666664,16.666666666666664
asciimoo/searx,97.28260869565217,0.7751937984496124,1.6304347826086956,0.0
asciinema/asciinema,0.0,0.0,0.0,0.0
automagica/automagica,88.88888888888889,11.11111111111111,0.0,0.0
automl/auto-sklearn,92.7797833935018,0.36363636363636365,6.4981949458483745,0.36363636363636365
awslabs/aws-sam-cli,71.07843137254902,0.0,28.921568627450984,0.0
awslabs/serverless-application-model,80.86124401913875,1.4354066985645932,17.727272727272727,0.0
bear/python-twitter,93.93939393939394,3.0303030303030303,0.0,2.7799227799227797
