nameWithOwner,url,stars,releases,primaryLanguage,createdAt,updatedAt
e2nIEE/pandapower,https://github.com/e2nIEE/pandapower,289,19,Python,2017-01-12,2020-05-13
kuri65536/python-for-android,https://github.com/kuri65536/python-for-android,207,19,Python,2015-03-14,2020-04-27
mozilla/addons-server,https://github.com/mozilla/addons-server,651,19,Python,2014-01-31,2020-05-13
phaethon/kamene,https://github.com/phaethon/kamene,808,19,Python,2015-01-29,2020-05-07
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,6196,20,Python,2017-06-16,2020-05-13
nginxinc/crossplane,https://github.com/nginxinc/crossplane,316,25,Python,2017-09-27,2020-05-09
wandb/client,https://github.com/wandb/client,1921,25,Python,2017-03-24,2020-05-13
huggingface/transformers,https://github.com/huggingface/transformers,26596,27,Python,2018-10-29,2020-05-14
MobSF/Mobile-Security-Framework-MobSF,https://github.com/MobSF/Mobile-Security-Framework-MobSF,5989,30,Python,2015-01-31,2020-05-13
ray-project/ray,https://github.com/ray-project/ray,11509,33,Python,2016-10-25,2020-05-14
cloud-custodian/cloud-custodian,https://github.com/cloud-custodian/cloud-custodian,2848,34,Python,2016-03-01,2020-05-13
apple/ccs-calendarserver,https://github.com/apple/ccs-calendarserver,364,35,Python,2016-08-04,2020-05-11
KurtBestor/Hitomi-Downloader,https://github.com/KurtBestor/Hitomi-Downloader,412,37,Python,2017-11-26,2020-05-12
tensorflow/magenta,https://github.com/tensorflow/magenta,15047,41,Python,2016-05-05,2020-05-13
morpheus65535/bazarr,https://github.com/morpheus65535/bazarr,957,44,Python,2017-04-12,2020-05-14
simonw/datasette,https://github.com/simonw/datasette,3418,44,Python,2017-10-23,2020-05-13
astronomer/airflow-guides,https://github.com/astronomer/airflow-guides,315,46,Python,2018-05-17,2020-05-13
noisyboiler/wampy,https://github.com/noisyboiler/wampy,110,46,Python,2016-03-23,2020-04-27
wemake-services/wemake-python-styleguide,https://github.com/wemake-services/wemake-python-styleguide,963,46,Python,2018-03-09,2020-05-13
nabla-c0d3/sslyze,https://github.com/nabla-c0d3/sslyze,2170,47,Python,2014-08-18,2020-05-13
samuelcolvin/arq,https://github.com/samuelcolvin/arq,335,47,Python,2016-07-21,2020-05-13
julesontheroad/NSC_BUILDER,https://github.com/julesontheroad/NSC_BUILDER,378,48,Python,2018-09-16,2020-05-10
pyexcel/pyexcel,https://github.com/pyexcel/pyexcel,796,54,Python,2014-08-22,2020-05-13
snapcore/snapcraft,https://github.com/snapcore/snapcraft,877,55,Python,2015-10-29,2020-05-13
custom-components/custom_updater,https://github.com/custom-components/custom_updater,179,57,Python,2018-07-22,2020-04-18
instagrambot/instabot,https://github.com/instagrambot/instabot,3523,57,Python,2017-01-13,2020-05-14
pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,4300,57,Python,2014-03-13,2020-05-14
awslabs/aws-sam-cli,https://github.com/awslabs/aws-sam-cli,4969,61,Python,2017-05-23,2020-05-13
aliyun/aliyun-odps-python-sdk,https://github.com/aliyun/aliyun-odps-python-sdk,322,65,Python,2015-10-30,2020-05-13
explosion/spaCy,https://github.com/explosion/spaCy,16377,65,Python,2014-07-03,2020-05-13
Azure/batch-shipyard,https://github.com/Azure/batch-shipyard,223,71,Python,2016-08-26,2020-05-08
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,9958,73,Python,2017-06-15,2020-05-13
quodlibet/quodlibet,https://github.com/quodlibet/quodlibet,779,81,Python,2015-03-14,2020-05-13
pantsbuild/pex,https://github.com/pantsbuild/pex,1610,91,Python,2014-07-21,2020-05-13
wagtail/wagtail,https://github.com/wagtail/wagtail,8726,120,Python,2014-02-03,2020-05-14
netbox-community/netbox,https://github.com/netbox-community/netbox,6478,141,Python,2016-02-29,2020-05-13
Tautulli/Tautulli,https://github.com/Tautulli/Tautulli,3378,157,Python,2015-02-22,2020-05-13
