nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs,totalFiles,stars
stamparm/maltrail,https://github.com/stamparm/maltrail.git,10,2014-12-04,5855,4136,86,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.175,94.88726725405158,5.27151484744731,0.01383772647454919,88,3627
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.9,2016-01-05,1809,1103,61,7,0,0,0,X,76.5036370748824,A,88.80917104164907,A,2.2857142857142856,94.88726725405158,5.27151484744731,0.01383772647454919,68
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.11,2018-11-06,2330,1392,82,8,0,0,0,X,76.5036370748824,A,88.80917104164907,A,2.0,77.28141055105448,4.2934116972808045,0.012734057697068223,90
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.12,2019-03-11,2325,1387,82,8,0,0,0,X,76.5036370748824,A,88.80917104164907,A,2.05,77.28141055105448,4.2934116972808045,0.012734057697068223,90
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.13,2019-04-30,2347,1397,83,8,0,0,0,X,76.5036370748824,A,88.80917104164907,A,2.0,69.3,3.8499999999999996,0.013287712379549451,91
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.14,2019-07-09,2472,1491,84,6,0,1,0,X,76.5036370748824,A,88.80917104164907,A,2.05,82.09363362702578,4.560757423723655,0.01356271942704932,91
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.15,2019-09-20,5706,3999,92,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.1,94.88726725405158,5.27151484744731,0.01383772647454919,94
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.16,2019-11-04,5638,3959,89,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.25,94.88726725405158,5.27151484744731,0.01383772647454919,91
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.17,2020-01-31,5814,4085,90,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.267857142857143,94.88726725405158,5.27151484744731,0.01383772647454919,92
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.18,2020-03-04,5778,4067,88,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.175,94.88726725405158,5.27151484744731,0.01383772647454919,90
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.21,2020-06-10,5845,4121,87,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.25,94.88726725405158,5.27151484744731,0.01383772647454919,89
stamparm/maltrail,https://github.com/stamparm/maltrail.git,0.22,2020-06-30,5855,4136,86,0,1,1,0,X,76.5036370748824,A,88.80917104164907,A,2.175,94.88726725405158,5.27151484744731,0.01383772647454919,88
